district,district_name,lat,lon
0,Headquarters,41.83070169,-87.62339535
18,Near North,41.90324165,-87.64335214
19,Town Hall,41.94740046,-87.65151202
20,Lincoln,41.97954951,-87.69284451
22,Morgan Park,41.69143478,-87.66852039
24,Rogers Park,41.99976348,-87.67132429
25,Grand Central,41.91860889,-87.76557448
1,Central,41.85837259,-87.62735617
2,Wentworth,41.80181109,-87.63056018
3,Grand Crossing,41.76643089,-87.60574786
4,South Chicago,41.70793329,-87.56834912
5,Calumet,41.69272336,-87.60450587
6,Gresham,41.75213684,-87.64422891
7,Englewood,41.77963154,-87.66088702
8,Chicago Lawn,41.77898719,-87.70886382
9,Deering,41.83739443,-87.64640771
10,Ogden,41.85668453,-87.70838196
11,Harrison,41.87358229,-87.70548813
12,Near West,41.86297662,-87.65697251
14,Shakespeare,41.92110332,-87.69745182
15,Austin,41.88008346,-87.76819989
16,Jefferson Park,41.97409445,-87.76614884
17,Albany Park,41.96605342,-87.72811456
