community_area,pct_housing_crowded,pct_hh_below_pvty,pct_16_unemployed,pct_25_without_hsd,pct_dependents,per_capita_income,hardship_index
1,0.077,0.23600000000000002,0.087,0.182,0.275,239.39,39
2,0.078,0.172,0.08800000000000001,0.20800000000000002,0.385,230.4,46
3,0.038,0.24,0.08900000000000001,0.11800000000000001,0.222,357.87,20
4,0.034,0.109,0.08199999999999999,0.134,0.255,375.24,17
5,0.003,0.075,0.052000000000000005,0.045,0.262,571.23,6
6,0.011000000000000001,0.114,0.047,0.026000000000000002,0.17,600.58,5
7,0.008,0.12300000000000001,0.051,0.036000000000000004,0.215,715.51,2
8,0.019,0.129,0.07,0.025,0.226,886.69,1
9,0.011000000000000001,0.033,0.065,0.07400000000000001,0.353,409.59,8
10,0.02,0.054000000000000006,0.09,0.115,0.395,328.75,21
11,0.027000000000000003,0.086,0.124,0.134,0.355,277.51,25
12,0.011000000000000001,0.075,0.068,0.049,0.405,441.64,11
13,0.039,0.132,0.099,0.14400000000000002,0.39,265.76,33
14,0.113,0.192,0.1,0.32899999999999996,0.32,213.23,53
15,0.040999999999999995,0.11599999999999999,0.126,0.193,0.34,243.36,35
16,0.063,0.131,0.1,0.22399999999999998,0.316,272.49,34
17,0.052000000000000005,0.106,0.1,0.162,0.336,262.82,28
18,0.081,0.153,0.138,0.235,0.386,220.14,50
19,0.10800000000000001,0.187,0.146,0.373,0.373,154.61,70
20,0.069,0.205,0.131,0.41600000000000004,0.364,150.89,71
21,0.06,0.153,0.092,0.247,0.31,200.39,42
22,0.032,0.168,0.08199999999999999,0.14800000000000002,0.262,319.08,23
23,0.14800000000000002,0.33899999999999997,0.17300000000000001,0.354,0.38,137.81,85
24,0.023,0.147,0.066,0.129,0.217,431.98,10
25,0.063,0.28600000000000003,0.226,0.244,0.379,159.57,73
26,0.094,0.41700000000000004,0.258,0.245,0.436,109.34,92
27,0.08199999999999999,0.424,0.196,0.213,0.43200000000000005,129.61,83
28,0.038,0.20600000000000002,0.107,0.096,0.222,446.89,15
29,0.07400000000000001,0.431,0.212,0.276,0.42700000000000005,120.34,87
30,0.152,0.307,0.158,0.5479999999999999,0.33799999999999997,104.02,96
31,0.096,0.258,0.158,0.40700000000000003,0.326,164.44,76
32,0.015,0.147,0.057,0.031,0.135,655.26,3
33,0.013000000000000001,0.138,0.049,0.07400000000000001,0.218,590.77,7
34,0.057,0.401,0.16699999999999998,0.345,0.38299999999999995,161.48,82
35,0.018000000000000002,0.29600000000000004,0.182,0.14300000000000002,0.307,237.91,47
36,0.013000000000000001,0.397,0.287,0.184,0.40399999999999997,192.52,78
37,0.032,0.512,0.33899999999999997,0.266,0.449,104.32,97
38,0.033,0.293,0.243,0.159,0.395,234.72,57
39,0.024,0.217,0.157,0.113,0.354,359.11,26
40,0.055999999999999994,0.42100000000000004,0.28600000000000003,0.254,0.428,137.85,88
41,0.015,0.184,0.084,0.043,0.262,390.56,14
42,0.028999999999999998,0.307,0.23399999999999999,0.165,0.361,186.72,58
43,0.027999999999999997,0.311,0.2,0.14,0.35700000000000004,193.98,55
44,0.033,0.278,0.24,0.145,0.40299999999999997,188.81,60
45,0.013999999999999999,0.172,0.21100000000000002,0.106,0.39299999999999996,244.54,41
46,0.047,0.298,0.19699999999999998,0.266,0.41100000000000003,165.79,75
47,0.068,0.33,0.18600000000000003,0.193,0.42700000000000005,125.15,79
48,0.021,0.115,0.2,0.11,0.44,288.87,38
49,0.025,0.198,0.203,0.16899999999999998,0.41200000000000003,179.49,52
50,0.015,0.21600000000000003,0.228,0.131,0.386,205.88,51
51,0.04,0.292,0.163,0.21,0.395,146.85,65
52,0.068,0.192,0.121,0.319,0.428,171.04,64
53,0.033,0.259,0.19399999999999998,0.205,0.42100000000000004,165.63,62
54,0.057999999999999996,0.565,0.34600000000000003,0.275,0.515,82.01,98
55,0.033,0.171,0.096,0.192,0.429,226.77,44
56,0.026000000000000002,0.08800000000000001,0.113,0.193,0.381,263.53,32
57,0.085,0.141,0.165,0.359,0.392,161.34,67
58,0.14400000000000002,0.23600000000000002,0.139,0.451,0.39299999999999996,130.89,84
59,0.07200000000000001,0.187,0.134,0.32899999999999996,0.35600000000000004,169.54,61
60,0.045,0.18899999999999997,0.13699999999999998,0.222,0.313,226.94,43
61,0.11900000000000001,0.29,0.23,0.415,0.389,127.65,91
62,0.111,0.156,0.16699999999999998,0.37,0.377,157.54,69
63,0.158,0.23399999999999999,0.182,0.515,0.38799999999999996,121.71,93
64,0.027000000000000003,0.08900000000000001,0.095,0.188,0.376,251.13,29
65,0.057999999999999996,0.149,0.096,0.336,0.396,169.07,56
66,0.076,0.27899999999999997,0.171,0.312,0.406,132.31,80
67,0.048,0.344,0.359,0.263,0.40700000000000003,113.17,89
68,0.038,0.466,0.28,0.285,0.425,118.88,94
69,0.036000000000000004,0.29600000000000004,0.23,0.165,0.41,172.85,66
70,0.04,0.10400000000000001,0.11699999999999999,0.177,0.369,234.82,37
71,0.04,0.276,0.28300000000000003,0.185,0.419,155.28,74
72,0.009000000000000001,0.051,0.08,0.037000000000000005,0.405,395.23,12
73,0.011000000000000001,0.16899999999999998,0.20800000000000002,0.13699999999999998,0.426,197.13,48
74,0.01,0.034,0.087,0.043,0.368,343.81,16
75,0.008,0.132,0.15,0.10800000000000001,0.40299999999999997,271.49,30
76,0.036000000000000004,0.154,0.071,0.109,0.303,258.28,24
77,0.040999999999999995,0.182,0.092,0.09699999999999999,0.23800000000000002,333.85,19
